name,type1,type2,type3,lon,lat
日昌餐馆(地安门总店),餐饮服务,中餐厅,广东菜(粤菜),116.394089,39.933245
全聚德烤鸭店(方庄店),餐饮服务,中餐厅,北京菜,116.431470,39.865517
花开素食(东直门店),餐饮服务,中餐厅,中式素菜馆,116.426119,39.940750
娘娘庙,风景名胜,风景名胜,寺庙道观,116.127732,39.853797
昌平公园,风景名胜,公园广场,公园,116.23707,40.217969
北京图书大厦,购物服务,专卖店,书店,116.377091,39.90789
圣泉寺,风景名胜,风景名胜,寺庙道观,116.581796,40.365506
知春路水站,购物服务,专卖店,专营店,116.345489,39.973038
亚运村全民健身园,风景名胜,公园广场,公园,116.412210,39.992282
沃尔玛(朝阳店),购物服务,超级市场,沃尔玛,116.444456,39.923003
革命烈士纪念碑,风景名胜,风景名胜,纪念馆,116.559566,39.763682
大鸭梨烤鸭(右安门店),餐饮服务,中餐厅,特色/地方风味餐厅,116.369421,39.866689
南馆公园,风景名胜,公园广场,公园,116.427852,39.943592
北京富力广场,购物服务,商场,购物中心,116.460629,39.895483
十渡高山漂流玻璃栈道,风景名胜,风景名胜,风景名胜,115.584791,39.636638
创新文化广场,风景名胜,公园广场,城市广场,116.323009,39.987259
黑龙潭(装修中),风景名胜,风景名胜,风景名胜,116.198053,40.041613
华贸购物中心东区,购物服务,商场,购物中心,116.481555,39.909230
东岳庙,风景名胜,风景名胜,寺庙道观,116.443955,39.92495
聚点串吧(簋街店),餐饮服务,中餐厅,特色/地方风味餐厅|餐饮服务;中餐厅;火锅店,116.421506,39.940818
仿膳饭庄(天安门店),餐饮服务,中餐厅,特色/地方风味餐厅,116.400006,39.902821
眉州东坡酒楼(通州店),餐饮服务,中餐厅,四川菜(川菜),116.664990,39.906493
印象湖北鱼米之乡,餐饮服务,中餐厅,湖北菜(鄂菜),116.647993,39.887948
真武庙,风景名胜,风景名胜,寺庙道观,116.342731,40.066378
稻香村(12号门店),餐饮服务,糕饼店,糕饼店,116.425707,39.998614
会城门公园,风景名胜,公园广场,公园,116.333266,39.90106
官园公园,风景名胜,公园广场,公园,116.360953,39.935607
请晋·乔家大院(建外大街店),餐饮服务,中餐厅,综合酒楼,116.443325,39.905567
温泉公园,风景名胜,公园广场,公园,116.181804,40.049301
华联商厦(石景山店)(暂停营业),购物服务,商场,购物中心,116.219884,39.90638
草莓博览园,风景名胜,风景名胜,风景名胜,116.406285,40.20199
唐宫海鲜舫(新世纪店),餐饮服务,中餐厅,广东菜(粤菜),116.327793,39.937479
天坛公园-回音壁,风景名胜,风景名胜,风景名胜,116.413074,39.878072
北京马连道茶城,购物服务,专卖店,专营店,116.325709,39.883779
灵山名胜风景区(暂停营业),风景名胜,风景名胜,风景名胜,115.494375,40.016715
上品折扣(草桥店),购物服务,商场,普通商场,116.358376,39.850994
上品折扣(回龙观店),购物服务,商场,普通商场,116.335194,40.079138
百望山森林公园,风景名胜,风景名胜,省级景点,116.255631,40.029982
眉州东坡酒楼(恋日店),餐饮服务,中餐厅,四川菜(川菜),116.357839,39.846236
福丽特玩家邮币卡市场,购物服务,专卖店,古玩字画店,116.385318,39.967339
万子营清真古寺,风景名胜,风景名胜,回教寺,116.593829,39.865418
天通艺园,风景名胜,公园广场,公园,116.434663,40.070709
北京朝来森林公园,风景名胜,风景名胜,风景名胜,116.454153,40.03101
十里河家居建材商业街,购物服务,特色商业街,特色商业街,116.466334,39.861996
十三陵-献陵,风景名胜,风景名胜,世界遗产,116.243594,40.306986
勑赐广化寺,风景名胜,风景名胜,寺庙道观,116.390893,39.941355
猫小院(北锣店),餐饮服务,咖啡厅,咖啡厅|餐饮服务;中餐厅;中餐厅,116.403672,39.943253
内蒙古饭店(传媒大学店),住宿服务,宾馆酒店,宾馆酒店|餐饮服务;中餐厅;中餐厅,116.550284,39.909662
海底捞火锅(王府井店)(装修中),餐饮服务,中餐厅,火锅店,116.411835,39.916047
宜家家居(四元桥店),购物服务,家居建材市场,家具城,116.463516,39.977697
密虹公园-鼓楼(果园北街),风景名胜,风景名胜,风景名胜,116.835201,40.374484
龙湖北京长楹天街,购物服务,特色商业街,特色商业街,116.599595,39.924513
唐宫海鲜舫(新侨店),餐饮服务,中餐厅,海鲜酒楼,116.416845,39.901684
红蕃茄(北京阜成路店),餐饮服务,中餐厅,湖北菜(鄂菜),116.298504,39.925166
嘉年华巴西烤肉,餐饮服务,中餐厅,特色/地方风味餐厅,116.325612,39.973755
九亿(鲁谷店),餐饮服务,中餐厅,中餐厅,116.215914,39.899486
北京渔阳国际滑雪场(暂停营业),体育休闲服务,运动场馆,滑雪场|风景名胜;风景名胜;国家级景点,117.147362,40.079478
什刹海-望海楼,风景名胜,风景名胜,风景名胜,116.386366,39.943088
人民公园,风景名胜,公园广场,公园,117.107698,40.141219
活力东方购物广场,购物服务,商场,购物中心,116.522145,39.940529
华联商厦(阜成门店),购物服务,商场,购物中心,116.354273,39.924373
